Frame,Pelvis_X,Pelvis_Y,Pelvis_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,L_Toe_X,L_Toe_Y,L_Toe_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,R_Toe_X,R_Toe_Y,R_Toe_Z
1.000000,0.515250,-0.250760,0.902567,0.541720,-0.173800,0.776937,0.516890,-0.174750,0.375707,0.141770,-0.158040,0.434857,0.053840,-0.142060,0.324357,0.515200,-0.358870,0.810167,0.700090,-0.329780,0.442927,0.661130,-0.278910,0.062967,0.795400,-0.295940,0.015647
2.000000,0.530710,-0.250600,0.898517,0.557740,-0.174270,0.772617,0.543700,-0.173960,0.372087,0.170190,-0.157570,0.435987,0.080970,-0.140910,0.326377,0.530480,-0.359110,0.806597,0.716610,-0.329600,0.440687,0.663490,-0.277830,0.062767,0.796180,-0.295300,0.012267
3.000000,0.546170,-0.250460,0.894787,0.573560,-0.174670,0.768647,0.570840,-0.173260,0.369067,0.198740,-0.157100,0.436497,0.108630,-0.139920,0.327417,0.545800,-0.359320,0.803237,0.732430,-0.329470,0.438297,0.665420,-0.276830,0.062827,0.796670,-0.294790,0.009607
4.000000,0.561670,-0.250350,0.891407,0.589200,-0.174990,0.765077,0.598290,-0.172660,0.366687,0.227330,-0.156650,0.436397,0.136750,-0.139070,0.327487,0.561200,-0.359510,0.800137,0.747390,-0.329380,0.435707,0.667000,-0.275890,0.063017,0.796940,-0.294420,0.007567
5.000000,0.577230,-0.250250,0.888437,0.604720,-0.175210,0.761957,0.626000,-0.172160,0.364977,0.255910,-0.156210,0.435677,0.165290,-0.138360,0.326577,0.576720,-0.359680,0.797317,0.761370,-0.329330,0.432837,0.668290,-0.274980,0.063237,0.797040,-0.294140,0.006037
6.000000,0.592880,-0.250190,0.885907,0.620160,-0.175350,0.759307,0.653950,-0.171750,0.363957,0.284410,-0.155830,0.434357,0.194220,-0.137780,0.324727,0.592400,-0.359810,0.794827,0.774310,-0.329300,0.429687,0.669330,-0.274080,0.063437,0.797010,-0.293950,0.004917
7.000000,0.608650,-0.250150,0.883837,0.635570,-0.175380,0.757157,0.682070,-0.171440,0.363667,0.312790,-0.155520,0.432447,0.223510,-0.137330,0.321967,0.608270,-0.359920,0.792667,0.786190,-0.329280,0.426267,0.670140,-0.273180,0.063557,0.796890,-0.293830,0.004107
8.000000,0.624550,-0.250130,0.882237,0.650980,-0.175310,0.755527,0.710330,-0.171230,0.364107,0.341000,-0.155310,0.429937,0.253140,-0.137010,0.318347,0.624340,-0.359980,0.790877,0.797050,-0.329230,0.422617,0.670750,-0.272290,0.063597,0.796690,-0.293770,0.003527
9.000000,0.640600,-0.250140,0.881117,0.666430,-0.175140,0.754417,0.738660,-0.171120,0.365297,0.369020,-0.155180,0.426877,0.283090,-0.136840,0.313937,0.640630,-0.359990,0.789447,0.806950,-0.329130,0.418837,0.671170,-0.271420,0.063597,0.796460,-0.293740,0.003117
10.000000,0.656820,-0.250180,0.880467,0.681970,-0.174880,0.753827,0.767000,-0.171110,0.367267,0.396840,-0.155140,0.423297,0.313340,-0.136810,0.308767,0.657160,-0.359940,0.788397,0.815990,-0.328970,0.415017,0.671450,-0.270590,0.063587,0.796190,-0.293730,0.002827
11.000000,0.673210,-0.250240,0.880297,0.697630,-0.174510,0.753747,0.795280,-0.171190,0.370007,0.424440,-0.155160,0.419217,0.343880,-0.136890,0.302897,0.673910,-0.359830,0.787727,0.824280,-0.328720,0.411277,0.671610,-0.269800,0.063627,0.795900,-0.293740,0.002607
12.000000,0.689800,-0.250320,0.880577,0.713430,-0.174040,0.754167,0.823440,-0.171350,0.373517,0.451840,-0.155240,0.414677,0.374700,-0.137030,0.296337,0.690890,-0.359630,0.787417,0.831890,-0.328380,0.407697,0.671700,-0.269060,0.063767,0.795600,-0.293750,0.002437
13.000000,0.706580,-0.250420,0.881297,0.729400,-0.173470,0.755077,0.851410,-0.171590,0.377767,0.479040,-0.155380,0.409687,0.405780,-0.137210,0.289107,0.708090,-0.359360,0.787477,0.838910,-0.327950,0.404407,0.671740,-0.268400,0.064057,0.795290,-0.293760,0.002297
14.000000,0.723560,-0.250530,0.882437,0.745560,-0.172800,0.756467,0.879140,-0.171900,0.382727,0.506080,-0.155560,0.404277,0.437140,-0.137380,0.281267,0.725500,-0.359000,0.787877,0.845390,-0.327420,0.401467,0.671770,-0.267830,0.064557,0.794970,-0.293770,0.002157
15.000000,0.740740,-0.250650,0.883977,0.761930,-0.172030,0.758297,0.906580,-0.172270,0.388357,0.532970,-0.155800,0.398447,0.468820,-0.137540,0.272847,0.743110,-0.358540,0.788597,0.851410,-0.326800,0.398967,0.671820,-0.267340,0.065287,0.794650,-0.293780,0.002027
16.000000,0.758130,-0.250780,0.885887,0.778520,-0.171160,0.760567,0.933660,-0.172690,0.394587,0.559760,-0.156100,0.392207,0.500860,-0.137670,0.263917,0.760910,-0.357990,0.789627,0.857010,-0.326100,0.396937,0.671930,-0.266960,0.066307,0.794330,-0.293780,0.001877
17.000000,0.775720,-0.250910,0.888147,0.795340,-0.170190,0.763257,0.960340,-0.173170,0.401347,0.586480,-0.156470,0.385557,0.533290,-0.137780,0.254537,0.778880,-0.357330,0.790927,0.862250,-0.325350,0.395437,0.672120,-0.266690,0.067627,0.793990,-0.293770,0.001697
18.000000,0.793510,-0.251030,0.890717,0.812380,-0.169120,0.766327,0.986580,-0.173680,0.408547,0.613180,-0.156940,0.378507,0.566160,-0.137870,0.244787,0.797020,-0.356580,0.792477,0.867180,-0.324570,0.394477,0.672440,-0.266560,0.069287,0.793650,-0.293760,0.001507
