Frame,Pelvis_X,Pelvis_Y,Pelvis_Z,L_Hip_X,L_Hip_Y,L_Hip_Z,L_Knee_X,L_Knee_Y,L_Knee_Z,L_Ankle_X,L_Ankle_Y,L_Ankle_Z,L_Toe_X,L_Toe_Y,L_Toe_Z,R_Hip_X,R_Hip_Y,R_Hip_Z,R_Knee_X,R_Knee_Y,R_Knee_Z,R_Ankle_X,R_Ankle_Y,R_Ankle_Z,R_Toe_X,R_Toe_Y,R_Toe_Z
1.000000,0.486020,-0.288300,0.951770,0.497480,-0.200370,0.832230,0.420040,-0.204010,0.429840,0.060720,-0.192180,0.271990,0.047580,-0.191600,0.129430,0.492760,-0.389240,0.851370,0.636430,-0.363880,0.460520,0.662050,-0.326860,0.077030,0.809940,-0.341820,0.053940
2.000000,0.497630,-0.288540,0.947580,0.510390,-0.201020,0.827890,0.437790,-0.203590,0.424820,0.074660,-0.190540,0.277190,0.058270,-0.189240,0.135120,0.504940,-0.389830,0.847380,0.650380,-0.363240,0.458140,0.667860,-0.325200,0.074150,0.814220,-0.340170,0.047140
3.000000,0.509190,-0.288720,0.943240,0.523290,-0.201700,0.823350,0.455690,-0.203050,0.419680,0.089210,-0.188970,0.282110,0.069650,-0.186880,0.140590,0.516990,-0.390440,0.843330,0.664390,-0.362620,0.455730,0.672980,-0.323600,0.071480,0.817670,-0.338730,0.040440
4.000000,0.520680,-0.288860,0.938790,0.536150,-0.202410,0.818640,0.473740,-0.202410,0.414480,0.104350,-0.187450,0.286730,0.081760,-0.184520,0.145820,0.528910,-0.391050,0.839250,0.678400,-0.362030,0.453320,0.677480,-0.322070,0.069120,0.820400,-0.337480,0.034070
5.000000,0.532100,-0.288950,0.934260,0.548950,-0.203130,0.813830,0.491940,-0.201670,0.409270,0.120070,-0.186000,0.291040,0.094600,-0.182190,0.150780,0.540690,-0.391640,0.835160,0.692400,-0.361470,0.450930,0.681440,-0.320630,0.067110,0.822540,-0.336430,0.028230
6.000000,0.543470,-0.288980,0.929710,0.561650,-0.203840,0.808960,0.510310,-0.200830,0.404120,0.136350,-0.184620,0.295020,0.108180,-0.179900,0.155430,0.552340,-0.392210,0.831100,0.706330,-0.360960,0.448590,0.684910,-0.319320,0.065490,0.824200,-0.335540,0.023030
7.000000,0.554770,-0.288980,0.925180,0.574250,-0.204520,0.804080,0.528840,-0.199930,0.399110,0.153180,-0.183300,0.298660,0.122510,-0.177670,0.159730,0.563870,-0.392730,0.827090,0.720140,-0.360500,0.446290,0.687930,-0.318120,0.064270,0.825470,-0.334800,0.018530
8.000000,0.566030,-0.288930,0.920720,0.586700,-0.205160,0.799270,0.547540,-0.198950,0.394310,0.170540,-0.182040,0.301920,0.137590,-0.175530,0.163650,0.575290,-0.393200,0.823180,0.733740,-0.360080,0.444040,0.690530,-0.317030,0.063420,0.826440,-0.334190,0.014760
9.000000,0.577250,-0.288850,0.916390,0.598990,-0.205750,0.794590,0.566420,-0.197930,0.389790,0.188400,-0.180840,0.304790,0.153410,-0.173500,0.167140,0.586620,-0.393610,0.819400,0.747040,-0.359730,0.441820,0.692750,-0.316070,0.062900,0.827170,-0.333700,0.011670
10.000000,0.588440,-0.288750,0.912260,0.611090,-0.206290,0.790110,0.585490,-0.196880,0.385620,0.206730,-0.179700,0.307240,0.169940,-0.171610,0.170170,0.597880,-0.393970,0.815790,0.759930,-0.359440,0.439580,0.694640,-0.315200,0.062650,0.827700,-0.333300,0.009190
